r,l,t
0.37,18,5.503653
2.88,18,5.511395
0.34,28,5.523212
0.32,26,5.534162
2.86,28,5.546045
0.37,24,5.556309
0.32,18,5.564069
0.34,16,5.571012
0.34,28,5.584112
0.28,20,5.594524
0.35,32,5.609033
0.33,22,5.618748
0.43,32,5.633008
0.25,32,5.647435
0.37,22,5.656907
0.39,30,5.671869
2.9,18,5.67978
0.41,32,5.693971
0.35,24,5.70421
0.39,24,5.718904
0.37,22,5.743763
0.36,30,5.757118
0.36,18,5.765103
0.3,32,5.779069
0.38,32,5.793122
0.38,23,5.80307
0.33,24,5.816347
0.29,26,5.827337
0.41,24,6.856825
0.32,26,6.873684
0.32,30,6.903411
0.32,28,6.922189
0.36,28,6.948842
0.41,18,6.971089
0.21,32,7.027932
2.9,18,7.054319
2.83,24,7.073503
0.35,16,7.087159
0.32,26,7.114058
0.43,30,7.175884
2.83,28,7.201147
0.35,32,7.223853
0.32,32,7.264073
0.31,32,7.3149
0.33,32,7.360902
0.28,32,7.418782
0.3,32,7.465801
0.26,32,7.538694
0.33,26,7.580896
0.31,18,7.621533
0.34,32,7.673886
0.33,28,7.737066
0.3,30,7.798143
2.89,30,7.839279
2.81,22,7.859274
0.43,32,7.915638
0.35,30,7.966064
0.27,32,8.031512
0.3,32,8.047978
2.8,18,8.055895
0.34,24,8.06619
0.4,20,8.074915
0.35,18,8.082746
0.42,24,8.093116
2.74,18,8.10076
2.79,12,8.106303
0.33,18,8.114167
2.74,10,8.122085
0.19,32,8.136492
0.31,32,8.150689
0.33,26,8.162208
0.26,32,8.176603
0.44,20,8.18536
0.36,32,8.200511
0.27,32,8.21492
0.33,18,8.22279
0.29,32,8.236912
0.31,32,8.251652
2.82,16,8.258832
0.34,24,8.269075
0.37,20,8.277887
0.33,24,8.28854
2.84,32,8.302971
0.39,32,8.31732
2.89,22,8.326772
0.38,32,8.343984
2.84,14,8.350332
0.21,32,8.364625
2.84,20,8.373576
0.36,32,8.388231
0.42,22,8.397913
0.38,32,8.412298
2.81,18,8.420202
0.4,30,8.432976
2.88,26,8.444886
0.31,22,8.462471
2.78,18,8.470219
0.32,32,8.498591
0.38,30,8.511957
0.33,20,8.521293
0.28,32,8.53554
0.4,30,8.551988
0.29,30,8.565138
0.36,32,8.57987
0.27,24,8.590076
0.44,18,8.598171
0.37,26,9.307769
0.28,18,9.315821
0.44,32,9.330271
0.38,32,9.345018
2.89,20,9.354101
0.32,32,9.368143
0.35,28,9.380075
0.32,26,9.393072
0.39,21,9.402116
0.3,32,9.416279
0.3,32,9.431887
2.73,18,9.441554
0.26,32,9.459089
0.32,24,9.470685
2.8,20,9.479263
2.84,24,9.48932
0.33,26,9.500336
2.82,18,9.50794
2.83,30,9.533235
0.36,18,9.545402
0.4,20,9.558322
2.79,30,9.570793
2.94,16,9.577748
2.83,22,9.590282
0.36,28,9.602743
2.84,24,9.612923
0.27,30,9.625351
2.78,32,9.639725
2.78,12,9.645351
0.33,26,9.656739
2.75,14,9.662771
0.38,18,9.671396
2.85,26,9.697196
0.31,32,9.711436
0.41,22,9.720869
0.4,20,9.72947
2.79,10,9.733979
2.76,16,9.740858
2.83,18,9.748509
2.85,20,9.757172
