r,l,t
0.26,22,8.81795
0.27,24,8.856858
0.25,32,8.904429
0.18,20,8.928714
0.25,24,8.958305
0.28,26,8.989186
0.34,20,9.014549
0.24,18,9.044997
0.27,32,9.087055
0.27,18,9.110469
0.22,18,9.130997
0.25,32,9.172875
0.25,32,9.212148
0.32,32,9.251955
0.26,32,9.300864
0.18,14,9.319389
0.27,20,9.344514
0.33,26,9.376189
0.25,32,9.414976
0.3,32,9.456854
0.24,32,9.497884
0.19,32,9.561659
0.32,30,9.608686
0.22,32,9.652464
0.24,24,9.684467
0.27,32,9.724223
0.22,20,9.750035
0.27,26,9.786176
0.3,14,9.806618
0.24,20,9.832713
0.24,32,9.886935
0.21,14,9.907472
0.25,32,9.953053
0.22,24,9.983358
0.27,18,10.009159
0.35,30,10.060399
0.27,32,10.10726
0.27,32,10.154709
0.25,20,10.179662
0.18,32,10.225607
0.29,16,10.246462
0.37,32,10.29854
0.25,20,10.328088
0.28,16,10.349609
0.25,20,10.37554
0.4,24,10.406596
0.32,30,10.444344
0.22,26,10.477268
0.31,14,10.498276
0.38,18,10.519806
0.4,32,10.567286
0.18,32,10.608338
0.38,22,10.639831
0.23,32,10.682283
0.17,32,10.722607
0.28,32,10.767787
0.3,30,10.814108
0.23,16,10.836854
0.33,32,10.890109
0.37,32,10.935246
0.3,24,10.966929
0.24,32,11.008967
0.23,32,11.052384
0.32,32,11.100857
0.32,32,11.146155
0.24,32,11.190596
0.27,32,11.234077
0.2,32,11.27633
0.27,26,11.318129
0.26,22,11.346494
0.25,32,11.387145
0.27,32,11.437228
0.24,32,11.479167
0.32,26,11.514657
0.33,24,11.548522
0.4,28,11.588857
0.2,32,11.635549
0.25,32,11.690445
0.25,32,11.737369
0.29,14,11.757091
0.28,24,11.789094
0.27,18,11.812604
0.32,20,11.841475
0.24,14,11.862336
0.32,16,11.883983
0.37,16,11.912538
0.2,32,11.956642
0.29,16,11.976756
0.22,32,12.027184
0.31,16,12.054528
0.35,32,12.0972
0.21,32,12.138693
0.3,14,12.159666
0.3,20,12.18739
0.27,30,12.224129
0.22,32,12.266235
0.19,32,12.304954
0.27,32,12.343861
0.29,32,12.388256
0.27,20,12.413292
0.25,32,12.452894
0.23,32,12.500863
0.27,28,12.534887
0.35,32,12.578544
0.38,32,12.627731
0.3,32,12.670881
0.19,32,12.718216
0.38,32,12.75704
0.25,32,12.801062
0.33,22,12.828211
0.37,32,12.867935
0.25,32,12.94514
0.3,20,12.971653
0.23,20,12.99843
0.33,26,13.034748
0.26,28,13.089892
0.25,32,13.131277
0.38,32,13.179443
0.2,18,13.204545
0.25,32,13.248205
0.24,20,13.275973
0.38,22,13.306648
0.25,14,13.328982
0.38,32,13.373448
0.3,22,13.405677
0.27,26,13.443608
0.3,16,13.463925
0.2,32,13.507476
0.35,32,13.55194
0.35,22,13.578881
0.3,26,13.614247
0.37,30,13.651519
0.35,32,13.696342
0.25,32,13.750328
0.35,32,13.790964
0.22,32,13.840576
0.25,32,13.880337
0.35,32,13.925936
0.26,28,13.97402
0.3,32,14.020125
0.29,16,14.044075
0.18,20,14.071296
0.37,30,14.108807
0.3,32,14.14918
0.2,32,14.192669
0.33,32,14.238672
0.29,24,14.269475
0.2,32,14.330405
0.23,20,14.357383
0.23,16,14.377318
0.29,22,14.406788
0.32,14,14.425862
0.29,18,14.451431
0.23,32,14.504152
0.3,32,14.545865
0.28,22,14.573387
0.25,32,14.626636
0.4,18,14.649185
0.38,32,14.698571
0.33,18,14.72384
0.25,32,14.76653
0.37,32,14.806738
0.33,14,14.825831
0.28,14,14.845634
0.3,32,14.884852
0.24,32,14.930567
0.3,32,14.977731
0.25,32,15.020099
0.27,32,15.064879
0.22,32,15.104662
0.25,32,15.153583
0.4,32,15.192129
0.18,32,15.23109
0.27,22,15.259857
0.38,22,15.286206
0.35,32,15.327876
0.38,18,15.348543
0.25,16,15.372187
0.23,20,15.396997
0.32,32,15.442011
0.33,30,15.479081
0.25,32,15.519557
0.26,32,15.560826
0.37,32,15.598905
0.3,32,15.639798
0.25,32,15.691975
0.32,32,15.731744
0.2,32,15.777907
0.2,14,15.800796
0.25,28,15.85917
0.19,32,15.905301
0.33,22,15.937647
0.38,20,15.967494
0.32,32,16.015991
0.38,32,16.062875
0.25,32,16.108807
0.27,32,16.153341
0.35,32,16.200719
0.35,32,16.242907
0.2,32,16.286884
0.32,30,16.332321
0.29,24,16.362862
0.26,24,16.395185
0.37,18,16.421382
0.25,32,16.463244
0.38,32,16.511058
0.24,32,16.559533
0.29,20,16.594939
0.25,32,16.636291
0.24,32,16.687036
0.37,30,16.726557
0.35,32,16.770292
0.38,32,16.813153
0.2,32,16.863298
0.38,22,16.89571
0.3,32,16.943187
0.3,28,16.978089
0.24,16,17.0032
0.38,20,17.040871
0.22,32,17.082265
0.37,32,17.125695
0.33,26,17.17062
0.25,32,17.211404
0.25,32,17.252315
0.27,32,17.317047
0.27,32,17.3591
0.38,28,17.397046
0.32,32,17.446657
0.38,30,17.485145
0.35,32,17.533086
0.2,32,17.576957
0.35,32,17.61754
0.16,32,17.672409
0.35,32,17.713445
0.38,30,17.756972
0.28,32,17.801734
0.35,32,17.842657
0.27,32,17.892489
0.3,32,17.937165
0.35,32,17.977639
0.35,32,18.021954
0.17,32,18.074603
0.25,16,18.096455
0.28,32,18.143136
0.3,32,18.183877
0.27,30,18.232953
0.32,32,18.274709
0.2,32,18.335172
0.22,32,18.384174
0.23,32,18.428576
0.19,32,18.474469
0.24,32,18.515679
0.35,32,18.560023
0.37,32,18.606634
0.25,32,18.656551
0.29,30,18.697429
0.23,32,18.747909
0.3,32,18.795709
0.35,32,18.845784
0.35,26,18.878286
0.29,32,18.918991
0.32,24,18.951116
0.35,32,18.995629
0.35,22,19.024522
0.37,26,19.072414
0.29,16,19.093737
0.26,32,19.143891
0.33,22,19.171742
0.27,32,19.216317
0.24,20,19.243158
0.37,32,19.283605
0.35,32,19.324128
0.27,32,19.374666
0.29,26,19.408625
0.32,30,19.44818
0.4,24,19.479015
0.25,32,19.51931
0.33,30,19.568981
0.3,20,19.604135
0.32,32,19.648161
0.33,30,19.687686
0.32,32,19.731325
0.38,20,19.757329
0.37,32,19.798356
0.29,32,19.843884
0.33,26,19.882111
0.17,32,19.924226
0.26,26,19.961991
0.3,32,20.008474
0.38,18,20.038255
0.38,18,20.0607
0.33,14,20.08308
0.32,28,20.132431
0.4,26,20.1782
0.37,32,20.220443
0.3,16,20.241064
0.33,26,20.277615
0.29,28,20.312741
0.22,32,20.35933
0.17,32,20.407313
0.31,28,20.447507
0.38,32,20.488031
0.17,32,20.536553
0.35,32,20.589381
0.22,24,20.627444
0.25,32,20.670452
0.31,32,20.7121
0.35,32,20.7675
0.26,32,20.815741
0.3,32,20.860163
0.3,32,20.906592
0.3,32,20.947236
0.19,32,20.992276
0.32,26,21.03158
0.37,32,21.075203
0.25,32,21.132165
0.33,30,21.172964
0.33,32,21.213838
0.38,32,21.257339
0.26,30,21.296097
0.33,32,21.343038
0.37,28,21.384346
0.35,32,21.425939
0.4,28,21.465029
0.3,30,21.504302
0.26,20,21.534692
0.4,30,21.578925
0.35,32,21.633999
0.33,24,21.671813
0.38,22,21.69951
0.27,32,21.743893
0.37,30,21.78307
0.37,26,21.820872
0.33,32,21.864493
0.35,32,21.907994
0.4,20,21.934902
0.26,32,21.97632
0.25,14,21.997893
0.3,18,22.021699
0.24,14,22.044402
0.29,32,22.094932
0.35,32,22.14198
0.27,32,22.200309
0.35,32,22.247461
0.25,32,22.288911
0.25,32,22.338007
0.38,26,22.371325
0.25,32,22.412808
0.35,32,22.45938
0.37,20,22.490096
0.38,30,22.531936
0.38,32,22.585663
0.35,32,22.627987
0.33,30,22.669009
0.3,32,22.716229
0.25,32,22.765298
0.2,32,22.828005
0.35,32,22.873918
0.25,32,22.915698
0.19,32,22.967257
0.35,32,23.013884
0.25,32,23.07673
0.38,26,23.113622
0.4,32,23.155693
0.35,32,23.209918
0.3,18,23.23195
0.38,32,23.281833
0.37,30,23.322965
0.35,32,23.365473
0.28,28,23.405262
0.24,32,23.448912
0.17,32,23.504191
0.35,32,23.557446
0.16,32,23.602218
0.3,20,23.631037
0.25,32,23.678257
0.35,32,23.740339
0.32,32,23.80566
0.35,32,23.879376
0.32,26,23.92479
0.25,32,23.991673
0.23,32,24.054174
0.18,32,24.096964
0.29,26,24.131161
0.25,32,24.178209
0.35,32,24.249117
0.3,30,24.293284
0.25,32,24.342902
0.35,32,24.391132
0.38,32,24.437569
0.24,32,24.495996
0.25,26,24.534709
0.25,32,24.584218
0.37,32,24.632512
0.38,32,24.685927
0.35,32,24.752067
0.38,32,24.797533
0.37,32,24.847606
0.38,32,24.900256
0.3,30,24.949135
0.2,32,24.997103
0.3,26,25.03258
0.33,32,25.083097
0.22,32,25.126957
0.37,32,25.172934
0.3,24,25.207569
0.17,32,25.263126
0.38,32,25.307801
0.35,32,25.355933
0.37,32,25.401392
0.38,28,25.445741
0.33,32,25.497641
0.38,32,25.545479
0.35,32,25.602859
0.17,32,25.656037
0.35,32,25.708493
0.29,30,25.747616
0.29,18,25.770273
0.19,32,25.822594
0.38,32,25.864106
0.37,32,25.906218
0.32,30,25.950507
0.27,32,25.996554
0.38,32,26.043288
0.4,32,26.088866
0.35,32,26.131644
0.23,32,26.174625
0.17,32,26.234181
0.38,32,26.284832
0.15,32,26.329942
0.38,28,26.365137
0.27,32,26.413908
0.38,18,26.437954
0.3,22,26.476451
0.38,32,26.52038
0.38,32,26.567487
0.38,32,26.619038
0.29,32,26.66613
0.29,24,26.700988
0.29,22,26.736268
0.3,14,26.75767
0.38,32,26.83584
0.37,14,26.854232
0.38,20,26.882985
0.38,22,26.91533
0.26,24,26.947982
0.3,32,26.989634
0.3,20,27.019319
0.29,14,27.048392
0.3,14,27.068132
0.29,16,27.089216
0.38,32,27.132312
0.17,32,27.179012
0.3,24,27.208231
0.3,26,27.245015
0.38,32,27.293387
0.3,28,27.341451
0.3,18,27.366865
0.38,20,27.396549
0.38,32,27.450525
0.29,20,27.478893
0.4,18,27.504388
0.3,32,27.553848
0.3,16,27.580883
0.3,14,27.600276
0.29,28,27.637245
0.3,14,27.664703
0.29,14,27.686578
0.17,32,27.744238
0.3,16,27.765243
0.38,32,27.811246
0.29,20,27.837667
0.31,20,27.864005
0.26,32,27.905891
0.29,14,27.925696
0.3,16,27.951159
0.38,20,27.977796
0.3,14,27.999366
0.29,14,28.020436
0.38,20,28.0502
0.28,26,28.084551
0.27,18,28.109888
0.2,16,28.130666
0.29,16,28.151594
0.3,24,28.185045
0.32,14,28.206609
0.24,32,28.249664
0.29,16,28.271439
0.28,32,28.324726
0.23,20,28.360399
0.24,22,28.391222
0.3,32,28.445915
0.31,24,28.487122
0.3,30,28.534696
0.31,14,28.562516
0.3,32,28.618505
0.21,32,28.669569
0.27,18,28.69383
0.27,32,28.748943
0.23,24,28.785753
0.27,32,28.852994
0.3,18,28.882395
0.32,20,28.91333
0.29,28,28.952986
0.29,32,29.005506
0.3,22,29.040014
0.3,16,29.070182
0.29,32,29.123802
0.26,32,29.171134
0.31,20,29.200974
0.3,16,29.223992
0.29,32,29.290844
0.27,32,29.358794
0.31,22,29.398867
0.3,16,29.425894
0.27,32,29.469821
0.31,32,29.512897
0.29,14,29.533266
0.3,32,29.586856
0.29,14,29.605053
0.27,14,29.624606
0.26,32,29.672374
0.31,26,29.709805
0.24,14,29.73294
0.34,28,29.76944
0.29,16,29.795853
0.31,28,29.85478
0.31,32,29.902355
0.28,16,29.926197
0.26,32,29.967281
0.3,16,29.988396
0.28,18,30.015953
0.2,24,30.050961
0.3,16,30.072024
0.29,24,30.110418
0.29,22,30.140875
0.29,14,30.160745
0.29,18,30.183127
0.31,32,30.228902
0.21,16,30.250144
0.3,32,30.291881
0.3,16,30.31572
0.31,32,30.358112
0.38,20,30.395117
0.24,22,30.424872
0.28,26,30.469365
0.31,20,30.495655
0.29,32,30.537208
0.3,18,30.563344
0.28,32,30.6048
0.3,18,30.630856
0.3,32,30.673819
0.2,18,30.701132
0.31,32,30.754555
0.31,32,30.811119
0.3,18,30.837508
0.31,28,30.87653
0.3,30,30.916061
0.31,32,30.958627
0.3,24,30.997394
0.3,24,31.034064
0.21,32,31.082972
0.31,32,31.125071
0.28,32,31.176533
0.31,28,31.212795
0.3,32,31.258754
0.28,26,31.300706
0.28,30,31.340138
0.3,20,31.365813
0.3,32,31.420208
0.28,16,31.443923
0.3,22,31.471589
0.3,22,31.498756
0.28,32,31.54816
0.31,22,31.575504
0.28,32,31.623471
0.31,32,31.675159
0.3,28,31.713597
0.3,18,31.735858
0.3,14,31.755225
0.3,20,31.782007
0.28,32,31.82538
0.28,32,31.876507
0.28,18,31.89863
0.28,32,31.94394
0.28,32,31.98559
0.28,32,32.032969
0.28,32,32.078379
0.3,16,32.104387
0.3,32,32.151695
0.28,32,32.195869
0.28,32,32.247985
0.31,32,32.300321
0.3,18,32.322187
0.31,32,32.368264
0.28,32,32.418327
0.3,18,32.452853
0.26,32,32.493689
0.28,32,32.542917
0.28,32,32.585865
0.3,16,32.606874
0.28,32,32.652903
0.21,32,32.694846
0.3,20,32.721312
0.26,32,32.769216
0.31,32,32.822223
0.28,32,32.864532
0.28,32,32.909988
0.28,32,32.952649
0.28,32,33.001278
0.28,32,33.051874
0.3,30,33.091175
0.28,32,33.135283
0.28,32,33.181172
0.17,32,33.23386
0.28,32,33.276309
0.28,32,33.323606
0.28,32,33.365141
0.24,32,33.422186
0.3,22,33.466564
0.26,32,33.510255
0.21,14,33.529892
0.28,32,33.576233
0.26,32,33.619571
0.3,22,33.647878
0.3,22,33.679413
0.28,32,33.740729
0.3,24,33.772743
0.28,32,33.815378
0.31,32,33.862001
0.27,32,33.905708
0.31,32,33.958451
0.28,32,34.003159
0.28,32,34.05016
0.26,32,34.094994
0.28,32,34.137207
0.31,32,34.188176
0.28,32,34.229537
0.3,26,34.262584
0.28,32,34.308275
0.3,26,34.341471
0.31,32,34.382259
0.31,32,34.433261
0.28,32,34.478056
0.3,32,34.523611
0.28,20,34.550495
0.26,32,34.596371
0.28,32,34.646486
0.28,32,34.695017
0.24,14,34.71135
0.31,30,34.750505
0.26,32,34.794204
0.3,20,34.821646
0.28,20,34.851062
0.28,32,34.895082
0.26,32,34.942999
0.31,32,34.985361
0.3,26,35.021336
0.28,16,35.046469
0.26,32,35.09188
0.3,18,35.128643
0.3,28,35.167822
0.28,32,35.210397
0.3,18,35.237824
0.28,32,35.28149
0.3,32,35.331244
0.31,24,35.372469
0.31,32,35.418631
0.3,14,35.439668
0.26,32,35.4816
0.3,24,35.522238
0.3,20,35.556755
0.3,30,35.597351
0.3,16,35.618108
0.28,32,35.663506
0.3,32,35.708037
0.28,32,35.749366
0.28,32,35.793603
0.28,32,35.840642
0.28,32,35.893629
0.28,32,35.935284
0.3,32,35.977209
0.3,14,35.998281
0.3,22,36.030126
0.3,20,36.059299
0.28,32,36.105055
0.28,32,36.146927
0.28,32,36.191834
0.28,32,36.237154
0.3,22,36.267878
0.3,26,36.303395
0.28,32,36.351014
