r,l,t
0.26,16,6.077284
0.22,18,6.089353
0.32,16,6.100994
0.2,18,6.113289
0.25,20,6.126629
0.2,20,6.142746
0.3,18,6.155208
0.32,22,6.169664
0.27,24,6.18575
0.27,16,6.196566
0.31,14,6.206033
0.29,18,6.218114
0.26,14,6.22755
0.34,18,6.239537
0.27,30,6.259155
0.22,20,6.272832
0.2,16,6.283512
2.83,12,6.292897
0.26,16,6.303959
0.27,14,6.332
0.23,28,6.350905
0.22,22,6.369999
0.3,20,6.383315
0.24,22,6.397814
0.3,23,6.412867
0.26,18,7.450775
0.26,24,7.468493
0.27,22,7.484723
0.31,14,7.494402
0.18,24,7.514972
0.26,30,7.535286
0.25,32,7.557285
0.29,22,7.57187
0.28,32,7.593245
0.19,18,7.605091
0.29,14,7.614565
0.21,14,7.62391
0.19,22,7.639358
0.27,14,7.64902
0.24,16,7.659803
0.22,20,7.672827
0.27,18,7.684823
0.19,22,7.70002
0.21,18,7.712285
0.25,16,7.722868
0.22,14,7.737146
0.21,16,7.754884
0.27,14,7.774764
0.23,16,7.78949
0.33,22,7.804451
0.27,14,7.813836
0.3,16,7.824425
0.28,20,7.837501
0.25,20,7.850568
0.34,28,7.86879
0.28,28,7.891914
0.26,22,7.906266
0.33,22,7.92181
0.23,14,7.931171
0.23,14,7.940538
0.26,16,7.951418
2.83,16,7.963085
0.31,14,7.972873
0.24,18,7.985098
2.79,14,7.994575
0.27,14,8.004053
0.24,18,8.016055
0.29,18,8.02807
0.26,14,8.037944
0.18,18,8.050057
0.24,20,8.063377
0.3,22,8.097837
0.32,18,8.109953
0.25,18,8.122006
0.27,20,8.136373
0.32,16,8.147973
0.32,16,8.160149
0.33,18,8.172663
0.25,14,8.187945
0.23,16,8.198799
0.26,18,8.21087
0.3,24,8.22668
0.22,20,8.240108
0.24,16,8.25142
0.24,16,8.262585
0.3,20,8.280013
2.83,14,8.289654
0.32,16,8.300322
0.27,24,8.316027
0.35,18,8.327912
0.27,22,8.342231
0.32,14,8.354922
2.79,16,8.365449
0.25,16,8.37595
0.19,16,8.386589
0.3,18,8.398347
0.26,18,8.410227
0.21,14,8.419882
0.27,30,8.439438
0.27,18,8.452108
0.33,14,8.461806
0.36,22,8.478565
0.33,20,8.491571
0.19,18,8.5034
