r,l,t
1.15,35,0.026761
0.82,35,0.042846
0.89,35,0.058861
0.82,35,0.074567
0.75,35,0.090667
1.11,35,0.106895
0.07,35,0.122766
1.06,35,0.138721
0.66,35,0.154988
0.69,35,0.17083
0.46,35,0.186808
0.52,35,0.202588
0.79,35,0.22122
0.67,35,0.243287
0.29,35,0.259181
0.68,35,0.274759
0.76,35,0.290752
0.71,35,0.306769
0.89,35,0.322648
0.08,35,0.33878
0.48,35,0.357603
0.56,35,0.378209
0.39,35,0.394256
0.81,35,0.410402
0.77,35,0.426466
0.62,35,0.444174
0.53,35,0.46449
0.89,35,0.482381
0.61,35,0.513411
1.29,35,0.529252
0.67,35,0.546753
0.65,35,0.562718
0.97,35,0.578363
0.45,35,0.593895
0.3,35,0.6102
1.06,35,0.625436
0.22,35,0.640739
0.56,35,0.656365
0.7,35,0.67663
0.44,35,0.692384
0.65,35,0.708533
0.47,35,0.72439
0.67,35,0.740235
0.25,35,0.756302
0.4,35,0.772233
1.13,35,0.788202
0.78,35,0.803869
1.04,35,0.8195
1.18,35,0.835281
0.8,35,0.854203
0.89,35,0.870111
1.0,35,0.888617
0.42,35,0.904602
0.7,35,0.920723
0.92,35,0.936652
0.61,35,0.954053
0.78,35,0.970089
0.0,35,0.999475
0.61,35,1.733793
0.39,35,1.750949
0.87,35,1.767778
0.32,35,1.785333
0.74,35,1.80183
0.69,35,1.818955
0.91,35,1.835426
1.13,35,1.851261
0.83,35,1.867548
0.58,35,1.883634
0.85,35,1.89952
0.81,35,1.915554
1.07,35,1.93659
0.54,35,1.957343
0.77,35,1.973029
0.96,35,1.989377
0.75,35,2.005659
0.8,35,2.022204
0.48,35,2.038421
0.58,35,2.054638
1.29,35,2.071023
1.3,35,2.090142
0.49,35,2.106698
0.71,35,2.123085
0.44,35,2.139304
0.83,35,2.159061
0.56,35,2.174881
0.91,35,2.203971
1.02,35,2.219834
0.56,35,2.23577
0.92,35,2.253199
0.74,35,2.274293
1.01,35,2.290614
1.01,35,2.306405
0.71,35,2.322387
0.8,35,2.338354
0.6,35,2.35525
0.84,35,2.373806
0.56,35,2.389384
0.46,35,2.40541
0.78,35,2.421474
0.42,35,2.43776
0.28,35,2.453789
0.73,35,2.470593
0.48,35,2.488507
0.37,35,2.504489
0.53,35,2.520491
0.76,35,2.538157
0.68,35,2.555922
0.68,35,2.572651
0.85,35,2.596189
1.08,35,2.613868
0.95,35,2.629596
0.74,35,2.645757
0.59,35,2.664218
0.8,35,2.68238
0.77,35,2.702896
0.39,35,2.719992
0.21,35,2.735626
0.91,35,3.426929
0.96,35,3.443458
0.32,35,3.46348
0.67,35,3.480012
0.68,35,3.497451
0.58,35,3.513268
0.37,35,3.530711
0.67,35,3.547462
0.87,35,3.563833
1.24,35,3.579533
0.94,35,3.595126
0.92,35,3.612518
0.76,35,3.628702
0.88,35,3.646182
0.8,35,3.662285
0.11,35,3.679237
0.95,35,3.694902
0.47,35,3.710632
0.91,35,3.726428
0.77,35,3.742588
0.89,35,3.75906
1.24,35,3.775
1.3,35,3.790817
0.83,35,3.806597
0.5,35,3.822346
0.61,35,3.854519
0.57,35,3.870377
0.8,35,3.88618
0.24,35,3.901597
0.61,35,3.91725
0.91,35,3.933267
0.77,35,3.949965
0.54,35,3.970346
1.13,35,3.98658
0.64,35,4.002667
0.65,35,4.019479
1.01,35,4.036493
1.0,35,4.058052
0.55,35,4.076401
1.09,35,4.092104
0.96,35,4.110906
0.78,35,4.127234
0.66,35,4.143032
0.62,35,4.158925
0.82,35,4.174626
0.57,35,4.190214
0.8,35,4.206114
0.87,35,4.222109
0.34,35,4.238062
0.73,35,4.254
0.76,35,4.272755
0.6,35,4.292315
0.97,35,4.311041
0.59,35,4.326967
0.7,35,4.348176
1.24,35,4.364375
0.92,35,4.380298
0.88,35,4.396613
0.87,35,5.08462
0.39,35,5.103103
0.67,35,5.122225
0.88,35,5.137804
0.67,35,5.153654
0.65,35,5.169626
0.87,35,5.185329
0.93,35,5.201157
1.02,35,5.217762
0.89,35,5.235292
0.93,35,5.251359
0.83,35,5.267368
1.19,35,5.283203
0.74,35,5.302775
0.91,35,5.323743
0.9,35,5.339123
0.97,35,5.354744
0.86,35,5.370452
1.2,35,5.386003
0.98,35,5.403049
1.27,35,5.418396
0.81,35,5.433757
0.54,35,5.449749
1.17,35,5.466588
0.54,35,5.4824
0.76,35,5.517235
0.91,35,5.533615
0.81,35,5.550717
0.72,35,5.573313
0.72,35,5.589025
1.21,35,5.604576
0.57,35,5.621318
0.99,35,5.637078
0.83,35,5.652615
0.82,35,5.669308
0.61,35,5.686464
0.79,35,5.702029
0.47,35,5.71931
0.62,35,5.736287
0.68,35,5.752506
0.84,35,5.768468
0.56,35,5.783633
0.74,35,5.800215
0.78,35,5.816237
1.06,35,5.832115
1.05,35,5.84823
0.59,35,5.864621
0.5,35,5.88049
0.86,35,5.896416
0.97,35,5.912357
0.71,35,5.933749
1.12,35,5.951594
0.91,35,5.967206
0.94,35,5.997694
0.99,35,6.013512
0.86,35,6.029419
1.02,35,6.045348
0.97,35,6.06141
0.84,35,6.077463
0.55,35,6.76675
0.98,35,6.782495
1.05,35,6.798012
1.29,35,6.813897
1.04,35,6.829426
0.64,35,6.844895
0.86,35,6.860419
0.91,35,6.880654
0.91,35,6.896336
1.11,35,6.912019
1.24,35,6.927739
0.72,35,6.945323
0.98,35,6.960801
0.99,35,6.979394
1.03,35,6.994876
0.29,35,7.014013
0.73,35,7.031073
0.54,35,7.047158
0.47,35,7.063117
1.16,35,7.080809
0.91,35,7.096385
0.58,35,7.112618
1.25,35,7.128321
0.91,35,7.157003
0.78,35,7.172541
0.41,35,7.193937
1.42,35,7.211336
0.82,35,7.227394
0.49,35,7.243444
0.83,35,7.259884
0.92,35,7.276146
0.93,35,7.292606
0.63,35,7.30855
0.79,35,7.324566
0.85,35,7.348377
1.13,35,7.364205
0.72,35,7.380269
0.64,35,7.401978
0.77,35,7.417785
1.13,35,7.433223
0.52,35,7.449194
0.64,35,7.465374
1.11,35,7.482841
1.08,35,7.498978
1.2,35,7.515014
0.67,35,7.531324
0.81,35,7.547262
0.7,35,7.563647
0.98,35,7.579432
0.88,35,7.595164
0.88,35,7.615274
1.03,35,7.644891
0.77,35,7.660887
1.04,35,7.679963
1.01,35,7.69771
0.57,35,7.714366
1.16,35,7.730604
1.0,35,7.746424
0.8,35,8.4385
0.77,35,8.454361
0.91,35,8.470122
0.91,35,8.489402
1.21,35,8.506455
0.96,35,8.52213
1.01,35,8.537795
1.3,35,8.553331
1.11,35,8.568778
0.96,35,8.58734
0.46,35,8.602953
1.03,35,8.619322
1.03,35,8.634894
0.68,35,8.653367
0.88,35,8.670164
0.77,35,8.685556
0.91,35,8.700949
0.95,35,8.716185
0.62,35,8.731814
0.91,35,8.747251
1.22,35,8.762762
1.0,35,8.778432
1.09,35,8.806928
0.75,35,8.822365
0.76,35,8.838494
0.99,35,8.856592
0.59,35,8.874105
0.73,35,8.889492
1.26,35,8.905531
0.48,35,8.922372
0.78,35,8.939576
0.78,35,8.956027
0.87,35,8.972151
0.94,35,8.98807
1.09,35,9.003955
1.06,35,9.019794
0.85,35,9.035455
0.85,35,9.051447
0.43,35,9.070766
1.17,35,9.086483
0.87,35,9.102385
0.49,35,9.118746
1.28,35,9.134432
1.25,35,9.151643
0.75,35,9.174329
1.24,35,9.193501
0.8,35,9.209131
0.92,35,9.225038
0.45,35,9.240655
1.2,35,9.256751
1.2,35,9.28757
1.13,35,9.303205
