r,l,t
2.89,12,0.014825
0.71,22,0.024081
0.65,24,0.034678
3.07,14,0.041271
0.53,32,0.056716
0.62,20,0.065321
0.72,28,0.07725
0.65,24,0.087567
0.74,24,0.097825
3.02,28,0.109562
0.64,32,0.123752
0.67,26,0.134738
0.64,18,0.143158
0.63,24,0.153399
0.81,20,0.161834
0.74,32,0.1759
0.64,30,0.188394
0.57,22,0.197666
0.53,22,0.207102
0.74,32,0.224707
0.57,32,0.238908
0.52,32,0.253119
0.59,32,0.272403
3.03,18,0.280502
0.74,24,0.291165
0.63,32,0.305411
0.57,16,0.312492
0.61,30,0.32545
3.11,24,0.33568
0.66,26,0.348949
0.45,32,0.363162
0.72,26,0.374089
0.76,18,0.381784
0.82,26,0.39251
0.61,22,0.401759
0.65,30,0.413989
2.86,20,0.422316
0.79,22,0.431622
0.68,26,0.442912
0.78,26,0.453729
0.37,32,0.483383
0.71,26,0.494459
0.67,24,0.50476
0.56,32,0.519403
0.66,20,0.528202
3.04,26,0.539254
0.61,32,0.553495
0.66,32,0.56761
0.66,20,0.578101
0.56,32,0.592046
0.65,24,0.602365
0.64,22,0.612233
0.55,28,0.624131
0.68,30,0.63756
0.65,26,0.650186
0.69,28,0.662026
0.77,26,0.672797
3.1,20,0.681209
0.64,32,0.698154
0.61,30,0.710647
0.69,26,0.721571
0.79,26,0.732472
0.61,32,0.74899
0.5,26,0.760143
0.45,32,0.77548
0.64,32,0.792866
0.71,20,0.804412
0.69,18,0.812715
0.68,20,0.825972
0.65,26,0.840594
0.64,30,0.853746
0.65,28,0.865747
0.61,32,0.880411
0.73,30,0.893622
0.68,24,0.907232
0.66,28,0.919266
0.66,26,0.930475
0.61,26,0.95464
0.74,32,1.62541
0.57,24,1.636194
0.53,26,1.647737
0.52,20,1.656497
0.61,24,1.666841
0.69,24,1.677306
0.62,28,1.690804
0.74,32,1.706857
0.73,28,1.72032
0.6,32,1.735274
0.82,24,1.747869
0.7,20,1.757752
0.59,27,1.769209
0.66,28,1.780769
0.7,20,1.789294
0.68,30,1.801722
0.68,24,1.811817
0.76,22,1.821978
0.71,28,1.839271
0.68,24,1.853892
0.57,18,1.861699
0.78,30,1.874127
3.02,18,1.881842
0.52,32,1.896297
0.61,26,1.907243
0.58,30,1.920005
0.77,32,1.938469
0.65,16,1.950296
0.42,32,1.964211
0.6,32,1.978111
0.79,30,1.990579
0.53,32,2.005116
0.73,30,2.017582
0.73,18,2.025326
0.69,28,2.037222
0.59,18,2.045034
2.88,22,2.054546
0.65,32,2.073498
0.64,26,2.084394
0.61,26,2.098267
0.52,32,2.114221
0.67,28,2.13062
0.76,28,2.142806
0.62,30,2.155461
0.53,24,2.166266
0.66,24,2.176451
0.6,16,2.183464
0.59,22,2.193147
0.74,30,2.205962
0.68,24,2.218411
0.61,30,2.231102
0.74,28,2.243012
0.67,30,2.255562
0.61,18,2.263275
0.67,28,2.275158
0.68,24,2.285546
0.68,22,2.294962
0.4,32,2.308883
0.67,20,2.321019
0.77,20,2.329607
0.59,24,2.339652
2.99,16,2.346439
0.45,32,2.360742
0.56,28,2.374542
0.74,20,2.38338
0.48,30,2.397224
0.63,26,2.408385
0.32,32,2.422154
0.76,22,2.431552
3.18,26,2.443048
0.53,32,2.457286
0.62,18,2.465079
0.57,32,2.478918
0.6,32,2.495258
0.6,26,2.506777
0.61,32,2.525679
0.67,22,2.535185
0.6,28,2.547427
0.53,32,2.56237
0.61,22,3.22797
0.61,32,3.241837
0.75,32,3.255758
2.94,16,3.262581
0.53,28,3.274108
0.46,32,3.287848
0.68,26,3.301292
0.66,32,3.315421
0.54,22,3.324753
0.69,26,3.335783
0.74,22,3.347508
0.71,25,3.358542
0.74,28,3.370403
0.36,32,3.384174
0.66,32,3.398001
0.55,32,3.411913
0.59,24,3.422011
0.78,22,3.431291
3.15,20,3.439793
0.7,26,3.456913
0.64,18,3.464642
0.55,24,3.474847
0.51,32,3.489584
3.03,22,3.498945
0.76,30,3.511576
0.53,32,3.525535
0.69,22,3.535736
0.7,32,3.54994
0.79,26,3.561068
0.71,18,3.568655
0.87,20,3.577024
3.05,16,3.583882
0.7,28,3.595512
0.66,26,3.606221
2.9,20,3.614703
3.13,20,3.628076
0.63,32,3.642106
0.55,28,3.653893
0.69,30,3.666674
0.56,19,3.674688
0.56,18,3.682244
0.7,30,3.697561
0.63,26,3.708389
0.7,28,3.71987
3.06,18,3.72751
0.7,32,3.744397
0.68,30,3.761523
0.58,28,3.773488
0.73,24,3.784122
0.62,30,3.796969
0.69,26,3.808321
0.65,32,3.822762
0.66,32,3.837221
0.68,26,3.848481
0.7,20,3.857137
0.69,30,3.872525
0.61,30,3.888452
0.65,20,3.89708
0.61,32,3.911252
0.7,26,3.922537
0.59,26,3.93364
0.6,22,3.945084
0.74,24,3.957307
0.67,28,3.969402
0.56,30,3.982109
0.59,22,3.99151
0.82,26,4.004068
0.53,32,4.018311
0.74,24,4.028552
0.69,24,4.038737
0.45,32,4.055586
0.64,32,4.072013
0.6,30,4.089549
0.62,32,4.104408
0.57,28,4.116452
0.87,22,4.126224
0.76,24,4.13652
0.69,23,4.146267
3.07,20,4.835707
0.61,32,4.850557
0.68,28,4.862478
0.74,32,4.876624
0.64,22,4.890078
0.56,28,4.904624
0.69,26,4.915697
0.61,32,4.930012
0.53,32,4.944995
0.28,32,4.963408
0.6,18,4.971232
0.73,24,4.981553
0.74,30,4.994433
0.73,28,5.006703
0.65,23,5.016932
0.65,22,5.026289
0.71,32,5.040579
0.76,22,5.050409
0.45,32,5.07188
0.61,26,5.08295
0.69,30,5.095564
0.61,32,5.109938
0.6,32,5.124228
0.6,32,5.138692
0.71,18,5.146741
0.69,18,5.154413
0.53,28,5.166181
2.99,26,5.176896
0.63,22,5.186197
0.68,32,5.20263
0.82,20,5.211787
0.67,18,5.221569
0.65,32,5.241472
0.68,26,5.255297
0.54,32,5.269615
2.99,18,5.280831
0.68,32,5.295194
0.74,16,5.302228
0.37,32,5.316087
2.97,14,5.322532
0.58,32,5.336627
0.66,26,5.347523
0.59,28,5.359404
0.65,22,5.368758
0.42,32,5.383054
0.68,32,5.397304
0.77,22,5.406823
0.66,18,5.414607
3.1,24,5.425415
0.73,22,5.434873
0.78,26,5.445822
0.71,32,5.460048
0.71,22,5.469392
0.78,24,5.47931
0.67,24,5.489294
0.74,20,5.500792
0.64,24,5.510957
0.53,26,5.521879
0.79,32,5.536144
0.74,22,5.545406
0.6,22,5.554893
0.67,32,5.568895
0.76,18,5.576779
0.73,24,5.586844
0.71,32,5.601172
0.52,32,5.615414
0.65,32,5.629652
0.74,26,5.640749
0.67,20,5.64925
0.56,26,5.660276
0.87,32,5.674439
0.71,24,5.689378
0.68,24,5.699403
0.56,17,5.706699
0.71,30,5.720635
0.7,30,5.733767
0.61,20,5.745738
0.75,32,5.760421
0.63,32,6.459575
0.57,26,6.4707
0.77,26,6.481531
0.44,32,6.495628
0.71,26,6.506425
0.74,32,6.520539
0.67,21,6.529449
0.71,26,6.540695
0.64,21,6.549491
0.61,32,6.564098
3.05,16,6.571357
0.55,32,6.586564
0.79,26,6.600107
0.71,20,6.608598
0.79,24,6.618701
0.65,32,6.632482
0.65,26,6.643949
0.59,32,6.658365
3.13,18,6.668901
0.65,18,6.676789
3.08,24,6.690465
