r,l,t
0.68,32,6.998041
0.5,32,7.011689
0.49,32,7.028418
0.61,32,7.0429
0.44,32,7.057835
0.74,24,7.067844
0.71,24,7.078285
3.08,30,7.090985
0.74,32,7.105086
0.68,30,7.117711
0.5,26,7.128544
0.6,32,7.147367
0.63,32,7.161231
0.63,32,7.17527
0.63,22,7.184668
3.03,16,7.191534
0.49,24,7.202046
3.02,20,7.210458
0.58,32,7.224365
0.58,32,7.257875
0.63,18,7.265613
0.48,32,7.27947
0.84,30,7.291922
0.73,26,7.3027
0.7,32,7.316902
0.69,30,7.329308
0.34,32,8.030668
2.97,16,8.037685
0.6,22,8.047036
0.55,32,8.061407
2.99,10,8.065986
0.75,28,8.077804
0.79,32,8.0918
0.37,32,8.105614
3.1,22,8.11516
0.63,28,8.127405
2.99,20,8.136127
0.65,20,8.144954
0.7,20,8.153574
0.44,32,8.168004
0.76,22,8.178137
3.07,18,8.185991
0.67,28,8.197807
2.99,26,8.209213
2.88,16,8.216487
0.55,32,8.231712
3.05,18,8.243703
0.78,28,8.255454
0.59,32,8.26946
0.64,28,8.281042
0.6,22,8.292694
0.76,32,8.306332
3.18,28,8.31805
3.12,16,8.325094
2.89,12,8.330332
2.91,12,8.335685
0.66,24,8.345681
2.96,14,8.351827
2.98,18,8.359392
0.68,32,8.373335
0.5,32,8.400345
0.65,32,8.413977
2.94,16,8.420853
0.65,22,8.430127
0.72,26,8.441088
0.81,26,8.452112
0.53,32,8.465916
3.13,22,8.478834
0.79,32,8.497529
0.72,32,8.511313
0.44,32,8.525181
2.94,28,8.537033
0.59,25,8.548188
3.18,22,8.557463
0.68,24,8.567662
0.68,30,8.579987
3.11,22,8.589267
0.5,32,8.603704
0.58,32,8.617712
0.57,26,8.629349
3.05,16,8.64071
0.36,32,8.656034
0.54,32,8.670237
2.97,12,8.675775
0.59,24,8.686319
0.68,24,8.696764
0.56,24,8.711338
0.6,26,8.722722
3.02,26,8.733712
0.66,32,8.748367
0.5,32,8.764885
3.01,22,8.777367
0.55,32,8.791579
0.6,28,8.803361
2.89,10,8.807819
2.91,18,8.815523
0.65,22,8.825182
3.0,24,8.835501
0.42,32,8.850313
0.84,20,8.875525
0.51,32,8.897952
0.68,32,8.920445
2.99,14,8.930251
2.97,10,8.937099
0.36,32,8.963332
0.44,32,9.003831
0.59,26,9.022403
0.51,32,9.050998
0.75,26,10.810033
2.99,16,10.821007
0.61,24,10.836591
2.94,12,10.845817
2.99,14,10.85611
0.74,28,10.874365
0.69,24,10.899536
0.46,32,10.921364
3.09,22,10.952032
3.17,30,10.991199
0.52,32,11.02083
0.65,30,11.063555
0.82,22,11.094439
0.73,20,11.108047
2.89,10,11.119697
3.13,26,11.141111
0.56,30,11.164085
0.6,32,11.192981
3.07,18,11.215041
3.06,32,11.264247
0.65,32,11.322868
2.97,24,11.365354
2.99,20,11.379239
0.6,32,11.405099
0.76,16,11.41645
3.12,22,11.439496
0.76,32,11.468925
0.82,22,11.484895
3.05,20,11.503659
3.04,18,11.526177
0.37,32,11.561577
0.6,24,11.600377
2.97,22,11.620877
2.91,16,11.631239
0.64,24,11.646363
2.93,16,11.65703
3.15,22,11.670696
3.07,22,11.684947
0.66,32,11.713863
2.86,10,11.73084
0.74,24,11.751804
0.76,30,11.773746
0.64,16,11.78826
2.97,24,11.805202
0.45,32,11.845931
0.64,20,11.864706
3.2,18,11.880759
2.94,14,11.912791
3.02,12,11.943714
0.61,32,12.025824
0.71,32,12.097437
3.05,22,12.125251
3.12,30,12.145456
0.77,20,12.159689
2.89,12,12.167731
0.69,22,12.182021
2.99,18,12.193416
3.02,18,12.205189
0.29,32,12.242949
2.99,20,12.256235
0.52,32,12.277811
3.09,26,12.295771
2.97,14,12.330312
3.15,24,12.355246
2.97,18,12.37724
2.83,12,12.390614
0.52,32,12.424703
0.42,32,12.469088
0.63,32,12.497484
0.54,32,12.521151
0.62,20,12.534855
0.36,32,12.555588
0.2,32,12.575912
0.73,28,12.594423
0.68,24,12.630293
2.91,10,12.642667
0.62,26,12.661719
0.76,22,12.682045
0.65,22,12.697339
2.99,18,12.709715
3.06,14,12.720975
0.65,32,12.745733
0.5,32,12.775798
0.65,30,12.798445
3.15,18,12.814784
0.28,32,12.845644
0.36,32,14.322154
0.67,28,14.367283
0.31,32,14.38972
0.61,26,14.406244
3.02,16,14.417123
0.57,28,14.455281
2.89,10,14.47367
0.65,26,14.513951
0.62,24,14.538413
2.94,12,14.547122
3.2,26,14.569355
3.1,16,14.584553
0.78,24,14.621382
3.07,16,14.632013
0.71,32,14.660514
3.16,26,14.696519
0.73,30,14.720105
0.64,32,14.754077
2.97,14,14.762546
2.91,26,14.78073
3.07,14,14.7913
3.07,18,14.803886
3.18,16,14.81635
2.91,24,14.83406
3.07,20,14.847311
0.76,32,14.875959
3.07,16,14.887933
3.02,22,14.904692
0.52,32,14.926013
3.1,20,14.940404
0.76,32,14.965268
3.09,18,14.997972
0.7,24,15.019677
2.94,10,15.027067
3.12,22,15.042433
0.67,30,15.061059
2.93,14,15.070798
3.05,20,15.087256
0.6,24,15.103684
3.1,16,15.114119
2.91,16,15.123983
0.71,22,15.138593
2.97,16,15.148776
2.91,12,15.157299
2.97,22,15.17133
3.02,18,15.183316
3.14,20,15.196347
2.99,10,15.203082
0.5,32,15.224197
3.12,20,15.250946
0.7,24,15.286238
3.11,22,15.302311
2.98,18,15.330278
3.05,16,15.363104
2.94,10,15.379701
2.97,16,15.40757
0.79,30,15.433
0.65,28,15.452127
2.99,18,15.463339
0.59,22,15.477212
0.69,22,15.507575
3.12,20,15.520438
0.65,30,15.539206
0.65,20,15.554789
0.58,32,15.610175
0.61,32,15.643528
2.91,20,15.663159
2.99,18,15.674957
2.99,14,15.688188
3.23,24,15.709516
0.72,20,15.718592
0.76,22,15.728189
3.07,22,15.737599
2.97,12,15.74328
2.97,20,15.752301
0.71,32,15.768141
2.83,14,15.774689
0.57,32,15.789041
0.6,30,15.801679
0.7,28,15.836121
0.57,32,15.850476
0.58,32,15.867327
3.15,30,15.880237
0.57,32,15.894741
0.7,30,15.907958
0.54,32,15.923481
0.76,28,15.935662
2.94,10,15.941614
3.04,18,15.949439
0.67,18,15.957224
3.05,20,15.965729
0.55,18,15.973538
3.05,28,16.65587
2.88,10,16.660214
0.73,32,16.674482
3.15,16,16.681503
0.73,30,16.69391
2.97,18,16.701507
2.88,10,16.705898
0.62,24,16.715969
3.09,22,16.725846
3.04,18,16.733978
2.97,12,16.73925
3.14,18,16.746974
2.91,12,16.7525
2.91,14,16.758479
0.74,32,16.77438
2.99,28,16.78585
0.63,32,16.799517
2.94,18,16.807247
2.94,12,16.812431
0.66,28,16.824054
0.58,32,16.843846
2.91,22,16.85322
2.88,10,16.857646
0.57,32,16.871283
0.55,22,16.88459
0.42,32,16.89881
3.15,28,16.910726
3.15,20,16.919162
3.1,16,16.925988
2.97,16,16.932779
0.52,32,16.946758
2.99,20,16.96869
2.96,14,16.975068
0.5,32,16.989419
0.65,32,17.004183
2.89,22,17.017679
0.67,16,17.024673
0.31,32,17.038386
0.56,22,17.049821
0.5,22,17.059715
0.68,32,17.07497
0.66,28,17.087403
0.52,30,17.102499
2.99,12,17.109142
2.91,14,17.115285
3.03,20,17.123908
3.15,24,17.134242
3.14,28,17.146049
0.6,32,17.160493
2.93,14,17.16682
0.74,32,17.18135
2.94,14,17.187586
3.05,26,17.198668
0.76,20,17.20737
3.1,28,17.219172
2.83,14,17.225404
0.7,22,17.234935
3.13,18,17.242976
0.62,28,17.255243
0.64,30,17.268323
3.04,14,17.275024
2.94,18,17.28298
0.68,32,17.300928
0.55,32,17.316007
0.68,32,17.332781
3.1,20,17.341446
3.05,24,17.354867
2.91,14,17.362109
2.97,18,17.371561
2.97,12,17.376798
3.09,30,17.38908
0.5,32,17.403118
0.78,24,17.413184
2.94,18,17.420821
3.08,28,17.437274
2.91,14,17.443213
2.97,14,17.449181
0.76,32,17.463243
2.93,14,17.469289
0.62,28,17.481139
2.97,16,17.488208
2.91,10,17.493327
2.89,10,17.497823
2.88,12,17.503114
2.99,26,17.513978
2.91,14,17.520115
2.88,10,17.524667
2.97,14,17.530908
3.09,20,17.53958
2.91,18,17.547182
2.99,16,17.554081
3.07,32,17.567675
0.68,32,17.581774
0.44,32,17.598557
3.15,20,18.268476
2.93,12,18.273813
2.97,18,18.281441
0.7,26,18.293496
2.94,14,18.299447
0.51,32,18.31348
0.67,32,18.327538
3.02,10,18.332191
2.88,10,18.33657
2.97,14,18.342601
2.89,14,18.350328
0.56,20,18.359247
2.93,14,18.365374
2.9,18,18.373116
2.89,14,18.379287
0.52,32,18.393176
2.94,12,18.398422
2.91,14,18.404432
2.96,10,18.408896
0.68,32,18.422553
2.99,20,18.430942
3.07,20,18.439325
3.02,14,18.445382
2.89,10,18.44976
3.1,20,18.458131
3.02,14,18.464087
2.78,10,18.468498
2.94,12,18.473993
2.96,14,18.480045
3.07,18,18.487686
2.98,26,18.499446
2.94,14,18.505753
3.07,22,18.516495
2.97,12,18.523288
3.1,22,18.532713
0.58,26,18.560984
2.91,14,18.56703
2.88,14,18.573046
0.34,32,18.586892
2.94,10,18.591387
3.26,18,18.599179
2.97,20,18.607676
2.97,22,18.616928
3.02,18,18.625025
3.04,16,18.631868
2.88,14,18.637832
3.07,28,18.649385
2.88,10,18.65381
3.02,20,18.662247
0.56,32,18.67621
3.09,14,18.682267
2.88,10,18.686734
2.97,18,18.694261
2.88,14,18.700382
2.89,12,18.7056
3.01,14,18.711697
2.94,10,18.716106
2.99,20,18.725357
2.99,14,18.731483
2.96,18,18.741586
0.67,30,18.755038
2.99,18,18.763028
2.91,16,18.772171
3.11,26,18.783041
3.04,16,18.789876
2.99,20,18.798443
3.21,20,18.806921
3.1,24,18.817137
3.02,18,18.824837
2.83,14,18.830931
2.89,10,18.83539
0.66,28,18.847015
2.88,12,18.852215
3.1,18,18.862239
2.99,14,18.872713
2.91,16,18.879937
2.86,10,18.884384
0.65,18,18.892199
0.59,30,18.904731
3.13,22,18.914125
2.99,20,18.922696
2.91,12,18.927976
3.1,22,18.937375
0.6,32,18.951706
0.58,20,18.960189
3.05,20,18.968724
2.86,14,18.974679
2.91,16,18.981448
2.97,10,18.985802
2.97,14,18.992052
2.96,16,19.014235
0.49,32,19.02837
0.67,16,19.035295
0.7,24,19.045322
0.62,30,19.057688
2.99,12,19.062927
0.73,32,19.077417
3.05,22,19.086795
0.44,32,19.100608
2.91,12,19.105907
3.07,28,19.117499
2.91,18,19.125144
2.91,18,19.132715
2.99,16,19.139742
2.91,20,19.14814
0.67,32,19.165669
3.15,20,19.174301
2.97,12,19.179673
0.79,20,19.188072
2.93,14,19.194088
3.06,22,19.870733
2.97,12,19.878152
2.97,12,19.886873
3.01,28,19.899513
2.88,10,19.904028
3.2,20,19.912525
0.31,32,19.926736
2.88,10,19.931416
2.88,12,19.936826
2.91,10,19.941193
0.62,22,19.952208
2.99,18,19.960059
2.89,10,19.964583
3.09,14,19.970894
0.71,25,19.981866
2.98,24,19.992024
0.7,32,20.00619
2.89,10,20.010709
0.62,18,20.019813
3.06,18,20.027498
2.91,10,20.031923
0.31,32,20.0457
0.49,32,20.060082
