#{"t_start": 1663434905.426515, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.26,30,6.734052
0.33,30,6.754257
0.22,28,6.772851
0.27,14,6.78247
0.28,18,6.795095
0.18,22,6.814133
0.18,22,6.828902
0.25,14,6.838505
0.34,14,6.848127
0.24,22,6.86303
0.27,32,6.885325
0.22,14,6.894998
0.21,32,6.91751
0.27,24,6.933605
0.28,18,6.945677
0.34,32,6.989464
0.28,24,7.005804
0.18,26,7.024152
0.24,20,7.037928
0.24,20,7.051176
0.18,18,7.063215
0.33,16,7.073947
0.23,18,8.067451
0.21,26,8.084423
0.28,18,8.09665
0.22,26,8.113508
0.32,18,8.125648
0.21,20,8.138785
0.27,26,8.155655
0.26,20,8.168821
0.15,20,8.182182
0.31,22,8.196521
0.27,16,8.207217
0.25,24,8.227031
0.29,26,8.244633
0.29,18,8.256603
0.25,14,8.266566
0.28,20,8.280475
0.33,20,8.29369
0.31,26,8.310481
0.29,24,8.326168
0.29,30,8.345735
0.33,14,8.355474
0.2,28,8.373819
0.29,18,8.38759
0.21,30,8.40677
0.28,26,8.424119
0.18,16,8.434901
0.29,16,8.445534
0.29,32,8.467539
0.27,18,8.479909
0.19,32,8.502849
0.3,14,8.515917
0.21,14,8.528326
0.25,22,8.544907
0.21,30,8.575182
0.21,16,8.588341
0.23,18,8.60765
0.22,26,8.633551
0.26,18,8.645871
0.22,20,8.659376
0.24,16,8.674248
0.27,20,8.696447
0.22,16,8.707258
0.29,18,8.719471
0.23,32,8.741932
0.32,14,8.751729
2.83,14,8.761337
0.25,24,8.778835
0.2,14,8.788415
0.22,32,8.810082
0.27,28,8.828489
0.3,14,8.83799
0.33,30,8.862445
2.79,20,8.882479
2.79,14,8.898679
2.83,14,8.911939
0.32,20,8.932872
0.28,24,8.955641
0.4,14,8.969759
0.31,20,8.98983
0.24,32,9.023709
0.32,20,9.04649
0.25,14,9.061865
0.36,16,9.085334
0.24,14,9.101399
0.26,16,9.11935
0.17,18,9.140212
0.21,32,9.186981
0.28,20,9.215187
0.25,32,9.259398
0.2,16,9.276697
0.28,32,9.313411
0.21,16,9.330489
0.22,16,9.347264
0.26,14,9.362981
0.24,22,9.387441
0.25,28,9.414893
0.3,18,9.439632
0.29,24,9.466448
0.24,26,9.493616
0.33,26,9.520217
0.26,18,9.539332
0.25,16,9.555547
0.18,20,9.578401
0.24,32,9.622834
0.23,16,9.65295
2.79,12,9.675177
0.3,24,9.710724
0.21,30,9.742162
0.21,26,9.808983
0.29,14,9.83561
0.35,18,9.85532
0.24,22,9.878371
0.25,20,9.898953
0.29,22,9.92059
0.25,32,9.972605
2.83,22,9.994922
0.2,18,10.0204
0.37,30,11.490521
0.3,18,11.502482
0.26,20,11.515589
0.25,20,11.528659
0.25,14,11.538586
0.31,32,11.586322
0.31,18,11.605841
0.25,32,11.645881
0.35,26,11.682474
0.24,18,11.725029
2.83,12,11.747174
0.24,16,11.769608
0.33,24,11.798262
0.14,32,11.833824
0.24,20,11.860111
0.25,32,11.900815
0.31,22,11.92926
2.83,14,11.943713
0.28,22,11.967665
0.3,14,11.983123
0.24,18,12.003704
2.79,24,12.029711
0.32,28,12.066228
2.79,24,12.090933
0.31,28,12.122731
0.19,32,12.175572
0.25,14,12.191047
0.28,16,12.208773
0.26,26,12.236038
0.25,14,12.251898
0.26,18,12.271716
0.26,26,12.301693
0.35,24,12.328313
0.27,24,12.353577
0.31,16,12.37128
0.26,20,12.397181
0.2,14,12.411455
0.3,16,12.461277
0.31,16,12.478791
0.32,14,12.494263
0.3,16,12.513412
2.79,16,12.52897
0.27,18,12.546847
0.28,16,12.563208
0.3,20,12.588813
0.28,18,12.610407
0.26,18,12.653606
0.25,22,12.682166
0.26,20,12.71733
0.31,16,12.734784
2.79,18,12.754516
2.83,14,12.769384
0.21,14,12.784486
0.2,20,12.804962
0.21,20,12.826527
0.27,18,12.845756
2.79,20,12.867438
2.83,18,12.886863
2.83,16,12.903017
2.79,16,12.920739
0.33,32,12.954525
0.26,14,12.970652
2.79,12,12.979029
0.35,20,12.992341
0.25,22,13.006856
0.23,18,13.019017
2.79,14,13.028722
0.23,22,13.043565
0.27,26,13.060602
0.29,14,13.070179
0.3,24,13.086177
0.23,18,13.098347
0.27,24,13.114193
0.29,14,13.123936
0.31,24,13.139933
0.36,18,13.152225
0.31,30,13.176495
0.27,14,13.18609
2.83,20,13.199419
0.29,24,13.21545
0.25,14,13.225154
0.27,16,13.235892
0.27,20,13.249261
0.31,22,13.267459
0.27,18,13.279486
0.21,28,13.297579
0.26,16,13.308384
2.79,16,13.319135
0.29,24,13.335171
0.29,26,13.354697
0.27,14,13.384583
0.35,18,13.397858
0.24,16,13.408471
0.32,18,13.420676
0.27,24,13.436253
2.79,14,13.44569
0.3,22,13.460665
0.28,18,13.472485
0.26,20,13.485467
0.24,20,13.498582
2.79,12,13.50664
0.19,32,13.52799
0.37,20,14.504351
0.23,22,14.518779
0.3,30,14.537957
0.28,16,14.550301
2.79,14,14.562942
0.26,14,14.572448
0.27,18,14.58445
2.83,22,14.59938
2.83,16,14.610307
2.83,12,14.618435
0.21,24,14.636644
0.22,28,14.654635
2.79,24,14.670341
2.83,16,14.681007
0.26,20,14.694086
0.36,14,14.703444
0.28,28,14.721678
0.38,16,14.735482
0.3,16,14.750438
2.79,16,14.76132
0.27,20,14.774434
0.29,22,14.788785
0.28,20,14.802052
0.32,20,14.815156
0.33,28,14.833664
0.28,24,14.84982
0.26,14,14.860243
2.79,24,14.877182
0.31,30,14.897855
0.24,18,14.909861
2.83,12,14.919364
0.31,16,14.93048
0.25,24,14.946275
0.35,24,14.962404
0.3,28,14.980705
0.27,16,14.991485
0.31,18,15.003474
0.35,18,15.015681
0.36,26,15.051039
0.26,32,15.072679
2.83,12,15.080918
0.25,28,15.099185
0.24,24,15.114926
0.36,14,15.124509
0.24,22,15.139031
2.79,20,15.154929
2.79,14,15.165577
0.31,14,15.174958
0.33,18,15.186956
0.3,22,15.201455
0.31,30,15.22089
0.26,22,15.239241
0.3,20,15.252412
0.23,18,15.26478
0.25,24,15.280318
0.29,26,15.297658
2.83,16,15.308718
0.32,16,15.319474
2.79,14,15.328912
0.31,16,15.339626
0.29,16,15.350311
0.4,20,15.363772
2.83,22,15.378278
0.19,32,15.402684
0.23,32,15.424495
0.36,28,15.442728
2.83,14,15.452082
0.33,22,15.467312
0.27,22,15.481663
0.32,24,15.497337
2.79,12,15.505501
0.27,20,15.518602
0.4,20,15.531732
0.32,16,15.542384
0.36,16,15.553158
2.79,14,15.562922
2.79,16,15.573659
0.27,22,15.588118
0.29,16,15.598756
2.83,30,15.625051
0.32,24,15.640591
2.79,14,15.649927
2.83,14,15.65932
2.83,12,15.667683
0.2,32,15.689481
0.26,20,15.702663
2.83,12,15.710806
2.79,12,15.719023
2.83,14,15.746657
0.31,20,15.766231
0.31,16,15.778469
0.28,26,15.795579
0.35,22,15.810004
0.15,32,15.831856
0.33,22,15.846289
0.3,14,15.855735
0.29,32,15.877753
2.83,22,15.894712
2.83,14,15.904871
0.29,20,15.918244
0.29,18,15.930283
0.32,14,15.939742
2.83,22,16.897816
0.29,24,16.913594
0.25,22,16.928845
0.35,14,16.938474
0.2,18,16.950815
2.79,24,16.968159
0.35,32,16.991136
2.83,18,17.005773
2.83,14,17.017601
0.24,24,17.036332
0.3,24,17.051993
0.27,26,17.070169
2.79,16,17.08092
0.24,28,17.099112
0.32,30,17.118408
0.24,32,17.140213
0.21,24,17.155949
0.33,24,17.171719
0.24,18,17.183572
2.79,14,17.196556
0.21,30,17.216162
0.18,26,17.233193
2.83,12,17.241413
2.83,12,17.249682
2.83,14,17.259156
0.23,32,17.285028
0.19,32,17.307582
2.83,18,17.319704
2.83,16,17.330292
0.28,28,17.348296
0.29,32,17.370639
0.19,32,17.413384
0.29,16,17.424201
0.18,22,17.438641
2.79,12,17.44687
2.79,12,17.456316
2.79,16,17.467142
2.83,12,17.475428
0.26,18,17.494494
0.24,28,17.514752
0.25,14,17.524171
0.3,18,17.536146
0.23,32,17.558161
2.83,14,17.568492
0.27,24,17.584264
0.21,18,17.596218
0.21,32,17.627301
0.31,16,17.638113
2.79,14,17.647534
0.27,30,17.667474
2.83,12,17.675737
0.27,18,17.687758
0.3,24,17.703505
0.26,20,17.71681
2.79,12,17.72515
0.25,32,17.746727
0.33,18,17.760546
0.21,14,17.772629
0.26,28,17.791766
0.25,26,17.815843
0.25,18,17.828148
0.23,20,17.841267
2.79,12,17.849494
2.79,16,17.861449
0.25,16,17.878705
2.79,14,17.893152
2.83,14,17.906347
2.79,12,17.919835
2.79,14,17.933569
0.21,16,17.966638
0.29,14,17.981048
0.32,18,18.002184
0.26,16,18.021185
0.21,16,18.0377
2.79,16,18.055126
0.3,32,18.107764
0.25,18,18.127764
2.83,12,18.140809
0.29,14,18.154848
0.26,18,18.178696
0.29,24,18.204421
0.33,22,18.228661
0.23,30,18.261171
0.29,24,18.285969
0.31,16,18.34079
0.27,16,18.358319
2.83,16,18.376395
0.26,20,18.398549
2.83,14,18.414039
0.32,18,18.433838
0.24,32,18.468627
2.79,14,18.483754
2.83,14,18.499352
0.25,18,18.524826
2.79,12,18.538462
2.83,12,18.551857
2.79,14,18.567476
0.25,18,18.58557
2.83,12,18.59839
2.79,14,18.614163
0.3,16,18.635263
2.83,20,18.656716
0.21,22,18.679154
0.3,24,18.702277
2.83,12,20.690907
