#{"t_start": 1663435061.4628139, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.25,26,9.032995
0.21,32,9.074895
0.17,22,9.110755
0.3,24,9.143718
0.3,24,9.176365
0.28,26,9.212358
0.27,16,9.233151
0.28,32,9.273444
2.79,14,9.292596
0.28,32,9.332096
0.23,32,9.382401
0.28,16,9.403528
0.3,26,9.438887
0.29,18,9.484197
0.3,24,9.514528
0.33,26,9.546313
0.31,14,9.564451
0.3,32,9.605409
0.24,24,9.638713
0.26,32,9.677529
0.24,16,9.697332
0.19,32,9.739929
2.79,16,9.772094
0.24,24,9.818595
0.24,26,9.849909
0.28,30,9.890138
0.27,14,9.90839
0.28,18,9.929168
0.29,22,9.958005
0.28,26,9.988969
0.36,14,10.006983
0.3,14,10.025265
0.26,18,10.046307
0.2,22,10.075417
0.27,14,10.091668
0.26,22,10.120466
0.25,14,10.138558
0.24,20,10.165226
0.27,14,10.18111
0.32,26,10.216431
0.27,22,10.243711
0.32,16,10.26313
0.32,18,10.287806
0.2,14,10.309603
0.25,18,10.330868
0.2,24,10.363533
0.28,32,10.403028
0.14,18,10.4269
0.3,18,10.452964
0.27,32,10.495976
0.3,14,10.515653
0.24,24,10.5489
0.15,24,10.578744
0.33,16,10.615345
0.17,16,10.637846
0.33,22,10.665
0.4,24,10.696752
0.24,24,10.728406
0.26,32,10.768874
0.32,16,10.791914
0.4,14,10.817564
0.27,14,10.845877
0.22,16,10.867496
0.26,14,10.889123
2.83,22,10.916873
0.28,22,10.948358
0.25,26,10.997159
0.22,18,11.022386
0.37,20,11.050045
0.22,18,11.072045
0.25,22,11.102584
0.27,24,11.131303
0.24,18,11.157245
0.27,20,11.183882
0.3,22,11.216038
0.24,18,11.241986
0.25,24,11.276866
0.2,18,11.298518
0.37,26,11.335387
0.27,16,11.357323
0.31,20,11.383111
0.3,14,11.401908
0.28,20,11.428946
0.32,20,11.455252
0.26,26,11.488025
0.35,14,11.507586
