r,l,t
0.24,24,8.628037
0.23,18,8.649059
0.2,32,8.692494
0.26,26,8.724854
0.28,30,8.772326
0.28,26,8.80424
0.25,26,8.836873
0.25,28,8.873907
0.25,14,8.895983
0.23,26,8.92998
0.06,32,8.972768
0.25,18,9.001301
0.26,18,9.031057
0.26,16,9.050861
0.3,18,9.072273
0.23,26,9.10731
0.25,22,9.134231
0.38,26,9.16591
0.25,20,9.195749
0.3,16,9.21617
0.25,26,9.25652
0.25,18,9.277752
0.2,32,9.322108
0.24,22,9.348917
0.29,28,9.385382
0.4,14,9.400781
0.28,18,9.424958
0.24,32,9.464966
0.26,22,9.495024
0.25,24,9.530594
0.3,18,9.55395
0.31,18,9.579188
0.23,16,9.599324
0.38,24,9.638706
0.28,16,9.658538
0.25,22,9.685102
0.2,32,9.727829
0.25,26,9.760277
0.25,24,9.803516
0.3,26,9.853603
0.25,30,9.900028
0.25,30,9.93911
0.2,32,9.979097
0.26,26,10.015206
0.35,32,10.054712
0.27,20,10.080104
0.24,16,10.100251
0.25,32,10.148763
0.3,26,10.183265
0.3,32,10.225667
0.3,20,10.252946
0.3,22,10.28314
0.29,18,10.30423
0.31,32,10.346359
0.31,16,10.36653
0.25,20,10.391658
0.26,20,10.417161
0.25,16,10.441486
0.25,24,10.472842
0.25,22,10.503005
0.35,28,10.539517
0.25,30,10.577991
0.3,20,10.603072
0.25,18,10.624599
0.35,18,10.649328
0.3,32,10.691344
0.25,20,10.717044
0.29,22,10.74611
0.29,18,10.767319
0.24,32,10.827016
0.26,22,10.85858
0.28,16,10.883759
0.31,16,10.911947
0.29,32,10.953018
0.29,32,11.002335
0.25,32,11.047253
0.3,30,11.08549
0.3,20,11.111361
0.3,16,11.133472
0.35,26,11.1726
0.25,16,11.193419
0.25,32,11.238235
0.25,26,11.273864
0.25,16,11.294053
0.18,32,11.337526
0.29,16,11.357564
0.25,26,11.390247
0.33,16,11.410829
0.26,16,11.432687
0.15,32,11.489413
0.21,32,11.535569
0.2,32,11.57968
0.25,32,11.621212
0.26,26,11.65277
0.35,32,11.712177
0.23,32,11.763706
0.23,18,11.795664
0.3,18,11.827711
0.25,28,11.871867
0.24,32,11.914812
0.31,16,11.939594
0.3,24,11.970342
0.25,32,12.023263
0.25,26,12.057261
0.31,22,12.086491
0.25,20,12.111995
0.29,32,12.159774
0.25,26,12.196278
0.28,22,12.232767
0.21,32,12.277787
0.2,32,12.318673
0.3,22,12.3458
0.25,30,12.387893
0.31,24,12.418498
0.26,18,12.449799
0.25,32,12.489181
0.25,14,12.507632
0.26,26,12.539185
0.24,28,12.57495
0.25,22,12.601538
0.3,24,12.635607
0.25,26,12.667336
0.26,20,12.692347
0.4,26,12.723866
0.24,32,12.766312
0.23,32,12.804751
0.25,30,12.84306
0.2,32,12.893283
0.3,18,12.922022
0.31,18,12.947844
0.4,16,12.968767
0.29,16,12.990483
0.28,30,13.02898
0.21,32,13.07091
0.2,32,13.10956
0.25,20,13.134195
0.28,28,13.169025
0.35,26,13.201303
0.28,18,13.222248
0.21,32,13.266452
0.29,28,13.302672
0.4,20,13.327269
0.26,22,13.356034
0.25,32,13.394967
0.2,32,13.436924
0.25,18,13.457734
0.35,26,13.491225
0.29,24,13.522612
0.25,32,13.564448
0.2,32,13.608124
0.4,22,13.634277
0.2,32,13.676795
0.3,20,13.703015
0.29,32,13.749279
0.29,30,13.78786
0.31,28,13.83249
0.35,32,13.876157
0.25,32,13.921329
0.25,24,13.949095
0.35,24,13.978812
0.16,32,14.021733
0.25,32,14.061021
0.25,32,14.103887
0.3,30,14.140578
0.26,16,14.162665
0.11,32,14.201491
0.25,26,14.233498
0.25,32,14.27738
0.29,22,14.303453
0.3,20,14.332328
0.3,30,14.369504
0.29,18,14.393436
0.3,32,14.432812
0.25,30,14.472042
0.2,32,14.511127
0.35,32,14.553772
0.3,18,14.574446
0.26,32,14.61593
0.3,26,14.65069
2.83,20,14.675851
0.29,30,14.713076
0.36,26,14.746346
0.25,32,14.790811
0.28,32,14.830173
0.31,18,14.854715
0.3,32,14.898592
0.24,14,14.919651
0.26,18,14.93997
0.27,16,14.963628
0.3,18,14.98491
0.24,14,15.011299
0.25,32,15.061021
0.34,18,15.085315
0.24,20,15.110869
0.29,20,15.135358
0.29,20,15.159947
0.29,24,15.18965
0.28,16,15.209159
0.31,14,15.227622
0.23,18,15.254168
0.27,20,15.278914
0.3,18,15.303183
0.24,22,15.330574
0.29,16,15.355854
0.31,16,15.375349
0.32,14,15.393462
0.25,20,15.418849
0.23,20,15.443894
0.29,18,15.46472
0.24,22,15.494004
0.31,22,15.519986
0.34,16,15.539362
0.25,16,15.55878
0.28,26,15.593063
0.3,26,15.624882
0.33,14,15.643048
0.25,16,15.662668
0.23,32,15.702617
0.33,22,15.734738
0.25,24,15.76273
0.24,20,15.788003
0.33,18,15.811589
0.25,18,15.834905
0.28,16,15.854275
0.35,18,15.875779
0.32,14,15.895474
0.29,18,15.933683
0.33,20,15.960963
0.28,28,15.993742
0.34,18,16.019014
0.26,18,16.042817
0.3,16,16.062324
0.4,14,16.080857
0.33,16,16.100263
0.33,24,16.130609
0.25,14,16.146041
0.36,16,16.16866
0.24,20,16.193733
0.25,16,16.216948
0.33,16,16.236677
0.25,16,16.258514
0.31,18,16.282171
0.34,16,16.301485
0.3,20,16.326432
0.3,16,16.353184
0.26,14,16.371292
0.25,20,16.395979
0.36,14,16.413946
0.33,16,16.433309
0.29,22,16.458919
0.35,14,16.47743
0.3,14,16.495337
0.3,26,16.527019
0.29,22,16.559902
0.28,16,16.579259
0.33,20,16.603631
0.33,16,16.622908
0.3,32,16.661617
0.33,20,16.68613
0.25,32,16.727453
0.36,22,16.7536
0.24,14,16.771808
0.4,16,16.791425
0.4,30,16.831928
0.3,14,16.852923
0.29,28,16.895138
0.2,32,16.93838
0.36,28,16.977812
0.38,30,17.01511
0.4,32,17.05345
0.26,16,17.073793
0.36,32,17.119485
0.4,24,17.15016
0.25,14,17.168042
0.31,16,17.187251
0.28,22,17.217859
0.36,14,17.236203
0.3,14,17.253533
0.36,16,17.276152
0.35,16,17.295262
0.27,14,17.313155
0.36,18,17.333726
0.33,18,17.357277
0.36,16,17.376351
0.28,26,17.411646
0.36,14,17.430551
0.35,28,17.466733
0.26,14,17.482311
0.33,14,17.500726
0.36,18,17.52443
0.29,18,17.546301
0.36,18,17.57202
0.25,18,17.595744
0.3,28,17.628617
0.33,18,17.658684
0.36,16,17.678239
0.29,14,17.696881
0.33,18,17.717883
0.33,20,17.743277
0.24,16,17.76579
0.3,24,17.793255
0.25,14,17.811573
0.25,16,17.831099
0.36,24,17.865633
0.38,24,17.899032
0.36,14,17.917621
0.28,20,17.94287
0.33,14,17.968075
0.26,16,17.987985
0.3,32,18.030896
0.35,18,18.05477
0.25,20,18.079798
0.36,16,18.0991
0.3,16,18.11867
0.33,22,18.147793
0.36,20,18.172783
0.25,14,18.190184
0.3,24,18.223768
0.27,20,18.256095
0.35,16,18.280177
0.25,32,18.326979
0.36,18,18.348907
0.27,16,18.373512
0.2,32,18.413747
0.26,24,18.445097
0.31,22,18.472494
0.33,18,18.4968
0.29,20,18.522097
0.35,14,18.545062
