r,l,t
0.29,14,12.004672
0.6,16,12.060859
0.37,22,12.094701
0.54,14,12.127645
0.48,16,12.144663
0.57,18,12.169811
0.46,16,12.20117
0.41,20,12.224664
0.44,24,12.258356
0.46,22,12.297458
0.54,20,12.346251
0.7,14,12.365386
0.61,18,12.384805
0.66,22,12.409123
0.63,20,12.431072
0.47,24,12.45797
0.66,18,12.494439
0.38,28,12.565043
0.22,16,12.583122
0.41,22,12.639049
0.46,18,12.66654
0.51,16,12.742465
0.49,18,12.777293
0.36,18,12.798591
0.47,16,12.824127
0.6,24,12.858714
0.32,32,15.337937
0.54,18,15.35133
0.44,18,15.365174
0.44,14,15.375857
0.49,16,15.387695
0.66,16,15.399657
0.69,16,15.412033
0.61,16,15.423884
0.49,16,15.435833
0.81,20,15.450536
0.76,16,15.462446
0.55,18,15.475786
0.54,28,15.496067
3.16,16,15.508164
0.6,16,15.520072
0.34,14,15.530647
0.41,14,15.544846
0.39,24,15.562989
0.51,16,15.574886
0.63,16,15.586807
0.68,22,15.602834
0.49,18,15.616843
0.74,20,15.631551
0.57,20,15.64724
0.62,22,15.666559
0.46,30,15.688091
0.61,14,15.698735
0.33,14,15.709456
0.54,16,15.721387
0.57,14,15.731881
0.74,18,15.745556
0.47,14,15.756433
0.32,32,15.781129
0.62,16,15.793065
0.76,24,15.810505
0.46,14,15.821011
0.83,14,15.831459
0.54,14,15.841833
0.44,20,15.856426
0.64,16,15.868572
0.39,21,15.88391
0.58,16,15.895804
0.61,16,15.914175
0.56,18,15.929325
0.41,16,15.942018
0.71,14,15.953271
0.44,20,15.971424
0.69,18,15.996405
0.48,20,16.03001
0.49,16,16.041895
0.43,14,16.052377
0.44,16,16.064142
0.66,18,16.077397
0.63,16,16.089363
0.54,22,16.109107
0.29,16,16.124265
0.53,18,16.141219
3.16,20,16.158508
0.37,20,16.173182
0.61,14,16.184701
0.61,14,16.195615
0.65,20,16.211098
0.44,24,16.233507
0.56,16,16.245729
0.76,20,16.260999
0.49,16,16.27551
0.64,16,16.288424
0.19,22,16.304533
0.59,22,16.320692
0.62,18,16.333995
0.51,26,16.352646
0.41,16,16.364957
0.6,16,16.377012
0.47,18,16.390571
0.6,24,16.408414
0.76,20,16.423023
0.69,18,16.436307
0.62,14,16.446764
0.62,20,16.461335
0.59,14,16.471776
0.29,32,16.496152
0.44,18,16.509983
0.42,16,16.521712
0.62,16,16.53353
0.49,14,16.544589
0.56,22,16.561078
0.63,16,16.572868
0.58,14,16.583248
0.34,18,16.596413
0.56,26,16.615231
0.6,22,16.631128
0.54,18,16.644377
0.56,16,16.65616
0.63,18,16.669345
0.61,18,16.682443
0.62,14,16.695614
0.6,22,16.716886
0.68,18,16.731458
0.6,32,16.756875
0.59,26,16.775888
0.63,22,16.792615
0.51,22,16.834801
0.54,20,16.85182
0.53,30,16.875871
0.81,22,16.89253
0.47,24,16.910462
0.55,20,16.928459
0.54,16,16.941036
0.59,20,16.956438
0.58,20,16.979867
0.66,14,18.195572
0.68,20,18.21189
0.54,14,18.22297
0.61,24,18.240286
0.69,26,18.258964
0.69,22,18.274868
0.63,14,18.285379
0.74,24,18.302497
0.56,17,18.315302
0.6,18,18.329058
0.61,14,18.339355
0.68,14,18.349842
0.76,20,18.364518
0.37,16,18.376238
0.47,18,18.389277
0.56,22,18.405438
0.19,18,18.41838
0.61,22,18.434099
0.71,14,18.444395
0.44,24,18.465523
0.63,16,18.477343
3.21,14,18.48783
0.53,18,18.501465
0.36,26,18.520127
0.68,18,18.533906
0.68,14,18.544293
0.71,26,18.563191
0.43,32,18.586917
0.56,26,18.605909
0.49,16,18.617779
0.74,18,18.636877
0.59,14,18.64818
3.21,18,18.661425
0.83,18,18.674511
0.71,26,18.693108
0.76,20,18.707761
0.83,14,18.718246
0.76,24,18.737531
0.09,18,18.750853
0.6,20,18.765779
0.57,26,18.784518
0.61,16,18.801677
0.69,18,18.836431
3.21,12,18.845659
0.76,18,18.85944
0.46,20,18.874345
0.68,14,18.885032
0.46,16,18.897125
0.62,18,18.910412
0.6,20,18.926603
0.54,18,18.941905
0.59,32,18.966685
0.66,24,18.984368
0.59,14,18.995267
0.62,14,19.00616
0.56,16,19.023211
3.16,14,19.034084
0.69,28,19.065163
0.54,14,19.076153
0.44,14,19.086837
0.46,24,19.107398
3.21,12,19.117026
0.48,14,19.128264
0.64,16,19.140206
0.76,22,19.156363
0.65,14,19.167151
0.76,26,19.186147
0.63,16,19.198503
0.29,18,19.212157
0.62,22,19.228301
0.71,14,19.239399
0.46,20,19.254328
0.54,16,19.266171
