#{"t_start": 1663527572.770394, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.03,16,7.072591
2.71,16,7.091448
0.03,18,7.111442
-0.05,32,7.172938
0.1,26,7.238349
0.1,14,7.270781
0.07,22,7.296287
-0.01,16,7.335992
0.07,24,7.396181
0.09,16,7.413508
0.03,22,7.436722
-0.06,32,7.472606
0.14,18,7.510569
0.13,16,7.564197
0.16,22,7.609
0.09,20,7.630686
0.15,26,7.65984
0.13,30,7.730086
0.12,32,7.784506
0.04,24,7.835224
-0.02,18,7.878353
0.03,24,7.904732
-0.04,18,7.924786
0.16,18,7.977833
0.04,22,8.004012
0.1,32,9.799217
0.1,22,9.817212
0.22,20,9.832179
-0.01,32,9.865539
0.15,24,9.89013
0.04,22,9.907015
0.04,16,9.9195
0.13,14,9.930098
0.14,24,9.947913
0.18,32,9.971807
0.04,24,9.988902
0.15,20,10.007956
2.71,16,10.019801
-0.05,32,10.043891
0.07,22,10.060269
0.1,20,10.082135
0.04,18,10.095853
0.09,22,10.115902
0.13,20,10.130743
0.1,16,10.142503
2.71,14,10.153007
0.1,20,10.167861
0.01,26,10.187345
0.07,30,10.209032
0.13,20,10.229234
0.1,20,10.247283
0.07,22,10.265215
0.22,22,10.282399
0.17,24,10.299756
0.07,26,10.319523
0.13,16,10.331298
0.13,24,10.348836
0.07,30,10.370585
0.15,18,10.383523
0.05,18,10.396761
0.17,18,10.413927
0.08,24,10.431122
0.05,32,10.458535
0.09,18,10.490085
0.05,30,10.512183
0.01,18,10.52526
0.16,20,10.539933
0.13,16,10.551733
0.01,32,10.575342
0.18,24,10.592626
0.1,30,10.614398
-0.06,16,10.62616
0.1,16,10.637946
0.08,22,10.653755
0.08,28,10.679404
0.16,14,10.689806
0.1,16,10.701726
0.18,24,10.719312
0.1,22,10.738477
0.09,16,10.750294
0.08,16,10.762045
2.71,14,10.772356
0.06,16,10.784085
0.07,28,10.805016
0.1,22,10.821743
0.08,32,10.847125
2.71,16,10.864214
0.23,24,10.886149
2.71,20,10.904498
2.71,12,10.915935
0.23,24,10.938039
0.15,20,10.956756
0.1,16,10.971591
0.01,32,11.00151
-0.07,22,11.018056
2.71,14,11.028459
0.07,20,11.043015
0.08,16,11.061396
0.05,28,11.081675
0.04,24,11.106805
0.1,22,11.12351
0.04,24,11.140825
0.03,20,11.155602
0.06,24,11.172945
0.03,18,11.186231
-0.02,22,11.202362
0.12,32,11.226738
0.14,26,11.247126
-0.05,18,11.260635
0.03,28,11.281072
0.1,26,11.320063
0.06,14,11.332116
0.07,24,11.349272
0.04,18,11.363103
0.04,20,11.377568
0.13,18,11.391775
0.13,14,11.402728
0.22,14,11.413216
-0.01,16,11.425163
0.23,16,11.441948
0.1,20,12.62107
0.22,14,12.631446
2.71,22,12.647248
0.03,22,12.663357
0.1,20,12.679374
0.03,16,12.691734
0.13,18,12.705589
0.07,28,12.726415
0.13,16,12.738605
0.1,20,12.754291
0.01,18,12.768034
0.05,20,12.783374
0.05,18,12.797186
0.07,20,12.812069
0.1,18,12.825984
0.07,16,12.838273
0.13,20,12.855137
0.16,14,12.865602
0.05,16,12.877878
2.71,22,12.893597
0.09,18,12.906736
0.13,24,12.923711
0.13,18,12.936754
0.1,26,12.955459
0.15,32,12.979153
0.16,18,12.992243
0.11,14,13.002861
0.1,16,13.014708
0.16,20,13.02892
0.1,18,13.044254
0.1,28,13.068698
0.15,14,13.079618
2.71,12,13.088842
2.71,22,13.105035
2.71,16,13.117484
0.04,28,13.142038
0.13,26,13.165065
0.07,16,13.177012
0.13,22,13.197592
0.1,22,13.213593
0.07,28,13.235348
0.08,16,13.26681
0.08,20,13.281688
2.71,16,13.293508
